NPAID	SMILES
NPA020662	CC(=CCC/C(=C/C[C@@]1(C(=O)C2=CC(=CC(=C2C(=O)[C@]1(CC=C(C)C)Cl)O)O)O)/C)C
NPA020663	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@H]2C[C@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C6=C(C=C5)[C@]7([C@@H]([C@H]([C@H]([C@@H](O6)O7)O)N(C)C)O[C@H]8C[C@]([C@H]([C@H](O8)C)O[C@H]9C[C@]([C@H]([C@H](O9)C)O[C@@H]1C[C@H]([C@@H]([C@@H](O1)C)OC(=O)CCC(=O)O)OC)(C)N)(C)N)C)O)(C)O)N(C)C)O
NPA020664	C1=CC(=C(C(=C1)O)C(=O)C2=C(C=C(C=C2O)C(=O)O)C=O)O
NPA020665	CC(C)C[C@@H]([C@](CC1=CN=CN1)(C(=O)O)O)N
NPA020666	C[C@@H]([C@@H](C)O)[C@H](C(=O)N[C@@](C)(CO)C(=O)O)O
NPA020667	CC[C@H](C)CCCCCCCCCCC(=O)O
NPA020668	CC(C)CCCCCCCCCCC(=O)O
NPA020669	CN1C=C(C2=C1C(=O)C=C(C2=O)N)C3=NC(=CS3)C(=O)N
NPA020670	CC1C(=O)N(C2(C1(C(CC(C)C(/C=C/C=C/CNC(=O)C(C)(C)C(/C(=C/C=C/C=C/CC3=CN=C(O3)C)/C)O)O)OC)O)C(OC2=O)C)C
NPA020671	CC1C(=O)N(C2(C1(C(CC(C)C(/C=C/C=C/CNC(=O)C(C)(C)C(/C(=C/C=C/C=C/CC3=CN=C(O3)C)/C)O)O)OC)O)C(OC2=O)COC)C
NPA020672	C[C@@H]1[C@H](CC[C@@H](O1)C2=C(C3=C(C=C2)C(=O)C4=C(C3=O)C=C[C@]5([C@@]4(C(=O)[C@@H]([C@](C5)(C)O)O)O)O)O)OC(=O)/C=C/C=C/C=C/[C@H]6[C@@H](O[C@](O6)(C)C(=O)O)C
NPA020673	CC/C=C\[C@@H]1[C@H](O1)C2=C(C(=O)[C@@]3(O2)[C@H]([C@@](NC3=O)(C(=O)C4=CC=CC=C4)OC)O)C
NPA020674	C([C@@H]1[C@H]([C@H]([C@]2(O1)C(=O)NC(=O)N2)O)O)O
NPA020675	CC1=C[C@@H]2[C@@H](CC[C@H]([C@H]2O)O)[C@@]([C@@H]1CCC(C)C(/C(=C/CC(/C=C/C(C)C(/C=C/CC(/C(=C/CC(CC3CCCN3C(=N)N)O)/C)O)O)O)/C)O)(C)C(=C4C(=O)CNC4=O)O
NPA020676	C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@@H]7C(=O)NC(C8=CC(=CC(=C8C9=C(C=CC(=C9)[C@@H](C(=O)N7)NC(=O)[C@@H]5NC(=O)[C@@H](NC(=O)[C@H]([C@H](C1=CC=C(O4)C=C1)O)NC(=O)[C@H](C1=CC=C(C=C1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C)O)O)OC)NC)C1=CC(=C(C=C1)O)Cl)O)O)O)C(=O)O)O[C@H]1C[C@H]([C@@H]([C@H](O1)C)O)N)Cl)CO)O)O)N)O
NPA020677	C[C@@H]1[C@@H]([C@@H](C[C@H](O1)O[C@@H]2[C@@H]([C@@H]([C@H](O[C@@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H]7C(=O)NC(C8=CC(=CC(=C8C9=C(C=CC(=C9)[C@H](C(=O)N7)NC(=O)[C@@H]5NC(=O)[C@@H](NC(=O)[C@H]([C@H](C1=CC=C(O4)C=C1)O[C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)CO)O)O)O)NC(=O)[C@@H](C1=CC=C(C=C1)O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)O)OC)NC)C1=CC(=C(C=C1)O)Cl)O)O)O)C(=O)O)O[C@H]1C[C@H]([C@H]([C@H](O1)C)O)N)Cl)CO)O)O)N)O
